frame,bytetrack_active_ids,botsort_active_ids,bytetrack_unique_ids,botsort_unique_ids,bytetrack_fps_rolling,botsort_fps_rolling,bytetrack_new_id_events,botsort_new_id_events,bytetrack_lost_id_events,botsort_lost_id_events,bytetrack_reappeared_id_events,botsort_reappeared_id_events,bytetrack_latency_ms,botsort_latency_ms
1,3,3,3,3,0.119,0.560,3,3,0,0,0,0,8407.945,1786.999
2,3,3,3,3,8.858,4.181,3,3,0,0,0,0,56.826,128.159
3,3,3,3,3,11.772,6.194,3,3,0,0,0,0,56.824,97.849
4,3,3,3,3,13.286,7.240,3,3,0,0,0,0,56.088,96.352
5,3,3,3,3,14.150,6.133,3,3,0,0,0,0,56.802,587.063
6,4,4,4,4,14.663,6.454,4,4,0,0,0,0,58.037,124.043
7,4,4,4,4,15.015,6.873,4,4,0,0,0,0,58.388,106.566
8,4,4,4,4,15.369,7.164,4,4,0,0,0,0,56.023,108.632
9,3,3,4,4,15.580,7.303,4,4,1,1,0,0,57.911,118.873
10,3,3,4,4,15.794,7.418,4,4,1,1,0,0,56.456,118.378
11,4,4,4,4,15.969,7.602,4,4,1,1,1,1,56.443,105.832
12,4,4,4,4,16.118,7.758,4,4,1,1,1,1,56.311,105.623
13,4,4,4,4,16.228,7.886,4,4,1,1,1,1,56.969,106.157
14,4,4,4,4,16.325,7.983,4,4,1,1,1,1,56.876,108.028
15,4,4,4,4,16.410,8.087,4,4,1,1,1,1,56.794,104.794
16,4,4,4,4,16.493,8.165,4,4,1,1,1,1,56.407,107.227
17,4,4,4,4,16.558,8.221,4,4,1,1,1,1,56.806,109.714
18,4,4,4,4,16.615,8.269,4,4,1,1,1,1,56.855,110.080
19,4,4,4,4,16.669,8.320,4,4,1,1,1,1,56.697,108.226
20,4,4,4,4,16.724,8.374,4,4,1,1,1,1,56.254,106.246
21,4,4,4,4,16.765,8.422,4,4,1,1,1,1,56.920,106.588
22,4,4,4,4,16.805,8.458,4,4,1,1,1,1,56.649,108.569
23,4,4,4,4,16.833,8.490,4,4,1,1,1,1,57.299,108.718
24,4,4,4,4,16.862,8.529,4,4,1,1,1,1,57.080,106.204
25,4,4,4,4,16.891,8.558,4,4,1,1,1,1,56.840,108.151
26,4,4,4,4,16.906,8.583,4,4,1,1,1,1,57.846,108.629
27,4,4,4,4,16.926,8.611,4,4,1,1,1,1,57.320,106.968
28,4,4,4,4,16.944,8.637,4,4,1,1,1,1,57.429,106.909
29,4,4,4,4,16.954,8.663,4,4,1,1,1,1,58.031,106.588
30,4,4,4,4,16.971,8.687,4,4,1,1,1,1,57.205,106.746
31,4,4,4,4,17.544,8.984,4,4,1,1,1,1,57.796,105.502
32,4,4,4,4,17.542,9.038,4,4,1,1,1,1,57.054,106.105
33,4,4,4,4,17.543,9.019,4,4,1,1,1,1,56.668,103.606
34,3,3,4,4,17.533,8.952,4,4,2,2,1,1,57.049,119.331
35,3,3,4,4,17.525,9.179,4,4,2,2,1,1,57.571,117.614
36,3,3,4,4,17.543,9.262,4,4,2,2,1,1,56.310,94.852
37,3,3,4,4,17.565,9.296,4,4,2,2,1,1,56.221,95.995
38,3,3,4,4,17.564,9.342,4,4,2,2,1,1,56.158,94.499
39,3,3,4,4,17.575,9.411,4,4,2,2,1,1,56.822,95.517
40,3,3,4,4,17.581,9.477,4,4,2,2,1,1,55.863,95.899
41,3,3,4,4,17.577,9.515,4,4,2,2,1,1,56.842,94.287
42,3,3,4,4,17.581,9.531,4,4,2,2,1,1,55.953,100.748
43,3,3,4,4,17.572,9.510,4,4,2,2,1,1,57.770,113.725
44,3,3,4,4,17.582,9.495,4,4,2,2,1,1,55.925,113.357
45,4,4,4,4,17.584,9.455,4,4,2,2,2,2,56.649,120.068
46,4,4,4,4,17.589,9.423,4,4,2,2,2,2,55.942,119.511
47,4,4,4,4,17.593,9.442,4,4,2,2,2,2,56.418,103.251
48,4,4,4,4,17.597,9.459,4,4,2,2,2,2,56.459,104.010
49,3,3,4,4,17.592,9.503,4,4,3,3,2,2,57.184,94.763
50,3,3,4,4,17.571,9.541,4,4,3,3,2,2,58.356,94.887
51,3,3,4,4,17.575,9.583,4,4,3,3,2,2,56.509,93.903
52,3,3,4,4,17.582,9.627,4,4,3,3,2,2,55.975,94.851
53,3,3,4,4,17.584,9.662,4,4,3,3,2,2,57.063,97.642
54,3,3,4,4,17.588,9.700,4,4,3,3,2,2,56.724,94.698
55,3,3,4,4,17.589,9.689,4,4,3,3,2,2,56.742,112.310
56,3,3,4,4,17.608,9.731,4,4,3,3,2,2,55.981,95.440
57,3,3,4,4,17.614,9.773,4,4,3,3,2,2,56.724,94.339
58,3,3,4,4,17.609,9.801,4,4,3,3,2,2,57.958,98.197
59,3,3,4,4,17.610,9.840,4,4,3,3,2,2,57.945,94.781
60,3,3,4,4,17.613,9.879,4,4,3,3,2,2,56.942,94.815
61,3,3,4,4,17.620,9.913,4,4,3,3,2,2,57.078,95.283
62,3,3,4,4,17.622,9.898,4,4,3,3,2,2,56.833,111.512
63,3,3,4,4,17.611,9.927,4,4,3,3,2,2,57.768,94.814
64,3,3,4,4,17.613,9.995,4,4,3,3,2,2,56.828,96.119
65,3,3,4,4,17.619,10.064,4,4,3,3,2,2,56.955,94.500
66,3,3,4,4,17.617,10.066,4,4,3,3,2,2,56.522,94.249
67,3,3,4,4,17.606,10.075,4,4,3,3,2,2,57.264,93.681
68,3,3,4,4,17.599,10.074,4,4,3,3,2,2,56.846,94.669
69,3,3,4,4,17.583,10.073,4,4,3,3,2,2,58.428,95.961
70,3,3,4,4,17.573,10.073,4,4,3,3,2,2,56.819,95.789
71,3,3,4,4,17.552,10.067,4,4,3,3,2,2,59.007,95.877
72,3,3,4,4,17.531,10.070,4,4,3,3,2,2,57.946,99.846
73,3,3,4,4,17.532,10.127,4,4,3,3,2,2,57.643,95.160
74,3,3,4,4,17.521,10.185,4,4,3,3,2,2,56.962,94.924
75,3,3,4,4,17.509,10.209,4,4,3,3,2,2,57.866,110.276
76,3,3,4,4,17.493,10.255,4,4,3,3,2,2,57.484,102.539
77,4,4,5,5,17.474,10.256,5,5,3,3,2,2,58.323,102.893
78,4,4,5,5,17.470,10.263,5,5,3,3,2,2,56.818,101.933
79,4,4,5,5,17.456,10.241,5,5,3,3,2,2,58.552,101.226
80,3,3,5,5,17.469,10.179,5,5,4,4,2,2,57.146,114.904
81,3,3,5,5,17.461,10.121,5,5,4,4,2,2,57.265,112.228
82,3,3,5,5,17.436,10.066,5,5,4,4,2,2,58.393,112.536
83,3,3,5,5,17.416,10.017,5,5,4,4,2,2,59.145,113.888
84,3,3,5,5,17.415,10.015,5,5,4,4,2,2,56.811,95.411
85,3,3,5,5,17.397,10.071,5,5,4,4,2,2,58.507,94.399
86,3,3,5,5,17.388,10.078,5,5,4,4,2,2,56.866,93.681
87,3,3,5,5,17.380,10.082,5,5,4,4,2,2,57.469,93.198
88,3,3,5,5,17.392,10.089,5,5,4,4,2,2,56.796,96.244
89,3,3,5,5,17.398,10.096,5,5,4,4,2,2,57.350,92.990
90,3,3,5,5,17.387,10.098,5,5,4,4,2,2,57.958,94.102
91,3,3,5,5,17.380,10.090,5,5,4,4,2,2,57.842,97.722
92,3,3,5,5,17.377,10.135,5,5,4,4,2,2,57.094,96.719
93,3,3,5,5,17.384,10.136,5,5,4,4,2,2,57.083,94.621
94,3,3,5,5,17.386,10.149,5,5,4,4,2,2,56.660,92.673
95,3,3,5,5,17.385,10.143,5,5,4,4,2,2,57.010,96.059
96,3,3,5,5,17.370,10.145,5,5,4,4,2,2,58.018,93.684
97,3,3,5,5,17.365,10.149,5,5,4,4,2,2,57.807,92.731
98,3,3,5,5,17.367,10.143,5,5,4,4,2,2,56.559,96.214
99,3,3,5,5,17.377,10.147,5,5,4,4,2,2,57.461,94.864
100,3,3,5,5,17.383,10.157,5,5,4,4,2,2,56.246,93.319
101,3,3,5,5,17.370,10.155,5,5,4,4,2,2,60.450,96.269
102,3,3,5,5,17.380,10.169,5,5,4,4,2,2,56.927,95.869
103,3,3,5,5,17.367,10.155,5,5,4,4,2,2,58.936,99.029
104,3,3,5,5,17.346,10.140,5,5,4,4,2,2,59.058,99.312
105,2,2,5,5,17.330,9.889,5,5,5,5,2,2,59.547,646.823
106,3,3,5,5,17.224,9.861,5,5,5,5,3,3,70.365,112.049
107,3,3,5,5,17.195,9.821,5,5,5,5,3,3,61.488,117.523
108,2,2,5,5,17.169,9.851,5,5,6,6,3,3,59.361,93.301
109,2,2,5,5,17.166,9.890,5,5,6,6,3,3,58.946,90.646
110,2,2,5,5,17.137,9.940,5,5,6,6,3,3,60.114,98.006
111,2,2,5,5,17.106,10.012,5,5,6,6,3,3,60.457,90.369
112,2,2,5,5,17.091,10.082,5,5,6,6,3,3,59.998,90.975
113,2,2,5,5,17.097,10.163,5,5,6,6,3,3,58.476,89.272
114,2,2,5,5,17.078,10.186,5,5,6,6,3,3,58.789,89.474
115,2,2,5,5,17.078,10.202,5,5,6,6,3,3,58.426,90.146
116,2,2,5,5,17.068,10.195,5,5,6,6,3,3,57.922,95.781
117,2,2,5,5,17.064,10.212,5,5,6,6,3,3,57.791,88.858
118,2,2,5,5,17.051,10.244,5,5,6,6,3,3,58.145,88.202
119,2,2,5,5,17.041,10.256,5,5,6,6,3,3,58.333,89.948
120,2,2,5,5,17.032,10.254,5,5,6,6,3,3,58.885,94.625
121,2,2,5,5,17.023,10.291,5,5,6,6,3,3,58.804,88.076
122,2,2,5,5,17.016,10.316,5,5,6,6,3,3,57.768,90.283
