tracker,raw_id,first_frame,last_frame,observed_frames,gap_events
ByteTrack,1,1,2501,2501,0
ByteTrack,2,1,107,106,1
ByteTrack,3,1,467,462,1
ByteTrack,4,6,48,30,2
ByteTrack,7,77,79,3,0
ByteTrack,8,306,417,109,2
ByteTrack,11,675,2493,1802,11
ByteTrack,12,1924,2043,72,3
ByteTrack,14,1980,2501,522,0
ByteTrack,16,2010,2052,10,1
ByteTrack,19,2059,2120,35,1
ByteTrack,21,2347,2373,20,2
ByteTrack,23,2377,2501,125,0
BoT-SORT,1,1,2501,2501,0
BoT-SORT,2,1,107,106,1
BoT-SORT,3,1,467,462,1
BoT-SORT,5,6,48,30,2
BoT-SORT,6,77,79,3,0
BoT-SORT,9,306,417,109,2
BoT-SORT,10,675,2493,1803,10
BoT-SORT,13,1924,2040,70,2
BoT-SORT,15,1980,2501,522,0
BoT-SORT,17,2010,2052,13,1
BoT-SORT,18,2059,2120,35,1
BoT-SORT,20,2347,2373,20,2
BoT-SORT,22,2377,2501,125,0
